,entry_signal_date,exit_signal_date,entry_fill_date,exit_fill_date,side,rv_entry,rv_exit,hedge_ratio_entry,hedge_ratio_exit,holding_days,gross_pnl,cost,net_pnl,closed_at_end,hy_spread_entry,ig_spread_entry,hy_spread_exit,ig_spread_exit,vol_regime,equity_regime,equity_credit_lag,HYG_vol_21,delta_hy,delta_ig
30,2013-07-05,2013-07-26,2013-07-08,2013-07-29,-1,0.03360582267103285,0.023389427407444874,0.01388706381939524,1.4370818691535265,15,10216.395263587974,938.0952380952381,9278.300025492736,False,-0.5080559218899603,-0.05451332100771123,-0.5002022578727476,-0.05049388450851273,low,bull,neither,0.1320586505700364,0.007853664017212658,0.004019436499198503
31,2013-08-28,2013-09-06,2013-08-29,2013-09-09,1,0.010012898830675077,0.018945122752077714,2.0945806203009423,2.247839829497474,6,8932.223921402638,795.2380952380952,8136.985826164542,False,-0.49577390704143404,-0.04813342317412024,-0.4869234923703608,-0.04945657396446095,low,bull,neither,0.07669467305341662,0.008850414671073226,-0.0013231507903407116
32,2013-09-25,2013-11-08,2013-09-26,2013-11-11,1,0.0068487511707276405,0.011812626611943378,2.4377307389715446,2.219364583070143,32,4963.875441215737,1207.936507936508,3755.938933279229,False,-0.498305636583618,-0.051114747619921734,-0.4785566017520675,-0.04784076617593465,low,bull,neither,0.0578696845015825,0.019749034831550494,0.0032739814439870854
33,2013-11-27,2014-01-07,2013-11-29,2014-01-08,1,-0.004535721785715818,0.000642826392334872,2.1745693819270278,1.3223337339010897,26,5178.548178050691,1112.6984126984125,4065.849765352278,False,-0.4746226279959453,-0.03956486836145902,-0.4493508518466051,-0.018582690840374488,low,bull,equity_first,0.0339639470148816,0.025271776149340175,0.02098217752108453
34,2014-02-03,2014-02-07,2014-02-04,2014-02-10,1,-0.014998491572271955,-0.004905855301765849,1.2162600771081995,1.1621648038080543,4,10092.636270506106,763.4920634920635,9329.144207014042,False,-0.47984260746355856,-0.028587906319317877,-0.46825274729957783,-0.026842895871595166,low,bull,neither,0.038151330348451716,0.011589860163980725,0.0017450104477227113
35,2014-06-09,2014-06-26,2014-06-10,2014-06-27,-1,0.0076209111662787765,-0.00036181191345818764,0.5887262430591343,0.6988323324247129,13,7982.723079736964,906.3492063492063,7076.373873387758,False,-0.44524211132559877,-0.009423047335355837,-0.4511424560832343,-0.0081351739673136,low,bull,neither,0.021261485645673338,-0.005900344757635512,0.0012878733680422375
36,2014-07-17,2014-08-18,2014-07-18,2014-08-19,1,-0.012543129702020983,-0.007696452193801384,0.7282059638001592,0.3479774702600892,22,4846.677508219599,1049.2063492063492,3797.47115901325,False,-0.4660357850035403,-0.010914394292616019,-0.4657276764838192,-0.014844267092577421,low,bull,neither,0.033431246763589315,0.0003081085197211286,-0.003929872799961402
37,2014-10-16,2014-11-25,2014-10-17,2014-11-26,-1,0.006869794155088704,-0.004487567331814157,3.732741998441877,2.685978315609978,28,11357.361486902862,1144.4444444444443,10212.917042458419,False,-0.5029215735512971,-0.02387882203384237,-0.4946385823195265,-0.02152428360466386,low,bear,neither,0.07959320287489494,0.008282991231770565,0.002354538429178512
38,2014-12-15,2014-12-19,2014-12-16,2014-12-22,1,-0.020257276955113035,-0.013626656518350266,2.9922580066349123,3.0147335237987467,4,6630.620436762769,763.4920634920635,5867.128373270705,False,-0.5619648012498001,-0.037404763547264096,-0.5177818705389801,-0.02456796712872673,low,bear,neither,0.08211804160521192,0.04418293071082002,0.012836796418537365
39,2015-04-24,2015-04-29,2015-04-27,2015-04-30,-1,0.005101188037315962,0.02454482429253646,3.3739146065302807,3.1629514393040865,3,-19443.6362552205,747.6190476190476,-20191.255302839545,False,-0.5131806151346456,-0.02612284578009417,-0.5085175771628987,-0.030927352089457925,low,bull,neither,0.03304052018278506,0.004663037971746942,-0.004804506309363757
40,2015-04-30,2015-06-12,2015-05-01,2015-06-15,-1,0.03170886197220202,0.015810183918711807,3.0624292585313544,0.17494694885210044,30,15898.678053490212,1176.1904761904761,14722.487577299737,False,-0.5008081486002071,-0.03097852285485214,-0.5010486068840976,-0.03773321372280017,low,bull,neither,0.033808289132518786,-0.00024045828389052115,-0.00675469086794803
41,2015-07-08,2015-07-13,2015-07-09,2015-07-14,1,-0.004097231570632132,0.005892030406158322,-0.47038033483582564,-0.5310587151030042,3,9989.261976790453,747.6190476190476,9241.642929171405,False,-0.5096733939733867,-0.0420948173249749,-0.4975529336518509,-0.043337422566308945,low,bear,neither,0.054990922165179354,0.012120460321535853,-0.0012426052413340438
42,2015-07-22,2015-08-27,2015-07-23,2015-08-28,1,-0.021889346044087044,-0.013099403477028426,-0.6312526677038341,0.7633934889264576,26,8789.942567058617,1112.6984126984125,7677.244154360204,False,-0.5217880954054939,-0.044100057758868334,-0.5398495022314524,-0.05564802531502716,low,bull,neither,0.05507323121854523,-0.01806140682595858,-0.011547967556158827
43,2015-09-28,2015-10-06,2015-09-29,2015-10-07,1,-0.04523328226583634,-0.022243031843336425,1.5415070857514357,2.0139050084541545,6,22990.250422499914,795.2380952380952,22195.01232726182,False,-0.5916489446652233,-0.05995649338921776,-0.5629773261478991,-0.052880089888822916,high,bear,neither,0.0686661746730388,0.02867161851732425,0.0070764035003948456
44,2015-11-19,2015-12-03,2015-11-20,2015-12-04,1,-0.04680253334368212,-0.03873029305885556,3.290624756815376,3.019741896470638,9,8072.240284826559,842.8571428571429,7229.383141969416,False,-0.5666704476887932,-0.0436424003022644,-0.5638930600129579,-0.04394315453689967,high,bull,neither,0.0561314007721528,0.002777387675835241,-0.00030075423463526985
45,2016-01-21,2016-03-08,2016-01-22,2016-03-09,-1,0.00505947973805132,-0.001489497088140057,2.7682592872472793,2.1368107607033893,32,6548.976826191377,1207.936507936508,5341.040318254869,False,-0.6272799536519128,-0.07728452887740458,-0.6091030162020836,-0.069292775287708,high,bear,neither,0.11245813219151772,0.018176937449829178,0.007991753589696587
46,2016-04-05,2016-04-26,2016-04-06,2016-04-27,1,-0.03352328293233753,-0.015860905138816994,1.906121092402003,1.6955778695545818,15,17662.377793520533,938.0952380952381,16724.282555425296,False,-0.6067376012302692,-0.048520906120783754,-0.5715654228732163,-0.03338744429796786,high,bull,neither,0.08806021152348871,0.035172178357052886,0.015133461822815893
47,2016-10-05,2016-10-13,2016-10-06,2016-10-14,-1,0.01779971577080075,0.015335801215016098,1.9393572595417963,2.07320373089027,6,2463.914555784652,795.2380952380952,1668.6764605465567,False,-0.5238902887352241,-0.018994476095682725,-0.5224795276841179,-0.018190875106369884,low,bull,neither,0.07081852513199538,0.0014107610511062685,0.0008036009893128415
48,2016-11-09,2016-11-16,2016-11-10,2016-11-17,-1,0.004914234987934973,0.01884622537042613,2.2345628984748016,2.379532857090306,5,-13931.990382491154,779.3650793650794,-14711.355461856234,False,-0.5233864185225607,-0.015802163049276317,-0.5076680391423035,-0.01582938755645824,low,bear,neither,0.08139716070429132,0.01571837938025722,-2.7224507181924235e-05
49,2016-11-18,2016-12-14,2016-11-21,2016-12-15,-1,0.03162996691265607,0.005709148735439373,2.4889252870702223,3.5185312984237798,17,25920.818177216697,969.8412698412699,24950.97690737543,False,-0.4960777700186799,-0.01685805499736426,-0.46391936781090415,-0.002926261520072817,low,bull,neither,0.10679528155848123,0.03215840220777577,0.013931793477291444
50,2016-12-21,2017-01-30,2016-12-22,2017-01-31,1,-0.002295645329767171,0.003968604195822789,3.834444011443271,3.641110054808094,25,6264.24952558996,1096.8253968253969,5167.424128764564,False,-0.460119312601655,-0.001185809939256844,-0.4611542215714071,-0.00230049800873682,low,bull,credit_first,0.050846341457333626,-0.001034908969752113,-0.001114688069479976
51,2017-05-17,2017-05-23,2017-05-18,2017-05-24,1,-0.012855305176795562,-0.003155523908545843,2.1638389164003016,1.8795523660221602,4,9699.781268249719,763.4920634920635,8936.289204757655,False,-0.4611707565926336,0.0049774199028698556,-0.45275239376578474,0.005187289184006507,low,bull,neither,0.03781421136395844,0.00841836282684888,0.00020986928113665183
52,2017-06-21,2017-06-27,2017-06-22,2017-06-28,1,-0.014514060323642275,-0.0035349108173391985,0.7339211112435146,0.5416047037497794,4,10979.149506303076,763.4920634920635,10215.657442811013,False,-0.46690829681170065,0.00977984774531961,-0.4558098672779829,0.013366895572393343,low,bull,neither,0.03701666423726239,0.011098429533717757,0.0035870478270737336
53,2017-07-25,2017-08-03,2017-07-26,2017-08-04,-1,0.004827753838190119,0.002064460026724113,0.5840516979078874,0.6455679679360408,7,2763.2938114660055,811.1111111111111,1952.1827003548945,False,-0.4423967152022443,0.019646195239787265,-0.446213860839218,0.016712695086281655,low,bull,equity_first,0.03543826304690415,-0.0038171456369737178,-0.0029335001535056096
54,2017-11-15,2017-11-16,2017-11-16,2017-11-17,1,-0.00048238342619749686,-0.002385253587633529,1.0998362975627696,1.1061196896865046,1,-1902.870161436032,715.8730158730159,-2618.743177309048,False,-0.44096393042302656,0.024921550494916553,-0.4429682617713637,0.02484795386411699,low,bull,neither,0.048697204255873865,-0.0020043313483371628,-7.359663079956405e-05
55,2017-12-06,2017-12-20,2017-12-07,2017-12-21,1,-0.008828140265724593,-0.003497712818534615,1.1335440684162292,0.9823028223996586,10,5330.427447189978,858.7301587301587,4471.697288459819,False,-0.4408494883947208,0.03334256889538172,-0.43278164156500915,0.03855847588832457,low,bull,neither,0.04926591417136653,0.008067846829711678,0.005215906992942845
56,2018-01-19,2018-02-05,2018-01-22,2018-02-06,-1,0.011148089969892305,0.00569917012947857,1.027904046514553,1.1140043703107605,11,5448.919840413735,874.6031746031746,4574.31666581056,False,-0.41278417349089336,0.04304237845187826,-0.4148053900806124,0.04489175263569828,low,bull,credit_first,0.027960373969139467,-0.0020212165897190437,0.0018493741838200156
57,2018-02-15,2018-03-27,2018-02-16,2018-03-28,-1,0.013704298817219573,0.007080672594468762,1.146561860717112,1.096551984527591,27,6623.626222750811,1128.5714285714284,5495.054794179383,False,-0.4067404483355241,0.04406425977153144,-0.42660290949454066,0.029127956390812497,high,bull,neither,0.07006767110125156,-0.019862461159016576,-0.01493630338071894
58,2018-05-29,2018-06-06,2018-05-30,2018-06-07,1,-0.0002869426685663812,0.008898158649093157,-0.1332238530731423,-0.3118041221886193,6,9185.101317659539,795.2380952380952,8389.863222421443,False,-0.41647707545758006,0.02401273405231823,-0.40407422403678794,0.024716328586908493,high,bull,neither,0.030962013890018746,0.012402851420792116,0.0007035945345902628
59,2018-06-25,2018-07-23,2018-06-26,2018-07-24,1,-0.0032947965009922364,0.010313129144171207,-0.4201532695925886,-0.14788602860084657,19,13607.925645163443,1001.5873015873016,12606.33834357614,False,-0.4085991217444359,0.016638699428825166,-0.4001519012299675,0.030469186167662816,low,bull,neither,0.029614106589778484,0.00844722051446839,0.01383048673883765
60,2018-11-19,2018-11-29,2018-11-20,2018-11-30,1,0.002059554706746347,0.00824662285318234,1.1854577030525426,1.0715705391320225,7,6187.068146435992,811.1111111111111,5375.957035324881,False,-0.4210003733763393,0.006238042892536919,-0.41580419425296944,0.002201648905201558,high,bear,neither,0.051291466470617234,0.005196179123369837,-0.00403639398733536
61,2018-12-06,2019-01-04,2018-12-07,2019-01-07,1,-0.004067347118182962,0.00572154717850043,1.0470011600493432,1.5238912185077254,19,9788.894296683393,1001.5873015873016,8787.30699509609,False,-0.43280141918102827,-0.0030272325419377585,-0.43826175124408423,-0.0031584864960347504,high,bear,neither,0.06975669475473346,-0.0054603320630559615,-0.00013125395409699196
62,2019-05-30,2019-07-05,2019-05-31,2019-07-08,1,-0.035040450749107444,-0.01588396969989131,0.9970636254829635,0.28313358758207663,25,19156.481049216134,1096.8253968253969,18059.65565239074,False,-0.45339436999383775,0.021377476212508937,-0.4309614295697216,0.04153806984195324,low,bear,neither,0.055529966962488186,0.022432940424116143,0.020160593629444303
63,2019-08-05,2019-08-21,2019-08-06,2019-08-22,1,-0.040129561913331335,-0.024836553585643018,-0.28453754226852995,-0.6438806802160721,12,15293.008327688318,890.4761904761905,14402.532137212127,False,-0.46286574275840303,0.03589725594261231,-0.4588243321580624,0.044697944250030354,low,bull,neither,0.05070878056447257,0.004041410600340634,0.008800688307418043
64,2019-09-13,2019-10-01,2019-09-16,2019-10-02,-1,0.005902818386457731,-0.02556813600458374,-0.7236327544844873,-0.6439808172032472,12,31470.954391041472,890.4761904761905,30580.47820056528,False,-0.43204949306187984,0.04326577089193408,-0.4632559276535603,0.0416295745170865,high,bull,neither,0.038254897490027445,-0.031206434591680432,-0.001636196374847576
65,2020-01-21,2020-03-13,2020-01-22,2020-03-16,1,-0.007915859239548517,-0.02405026302477098,1.2868900641160528,1.4624669723904409,37,-16134.403785222463,1287.3015873015872,-17421.70537252405,False,-0.4194486025531212,0.07535716052482934,-0.6432123844311428,-0.0636458856308039,low,bull,neither,0.023088231315867992,-0.2237637818780216,-0.13900304615563325
